algo,func,run_id,error
PSO,F22014,43,15163693946.580036
PSO,F22014,44,36796682189.432396
PSO,F22014,45,14796859172.871765
PSO,F22014,46,18362470694.211674
PSO,F22014,47,21147514031.422306
PSO,F22014,48,34318420797.690968
PSO,F22014,49,25273460011.764107
GWO,F22014,0,2208182765.484207
GWO,F22014,1,3503474321.4597034
GWO,F22014,2,487581485.0856501
GWO,F22014,3,530247349.917389
GWO,F22014,4,393161355.09685254
GWO,F22014,5,1702755173.116165
GWO,F22014,6,78887441.59722038
GWO,F22014,7,436680091.26528406
GWO,F22014,8,1558501408.712374
GWO,F22014,9,397635020.3119033
GWO,F22014,10,604584968.9096264
GWO,F22014,11,3714617521.9491563
GWO,F22014,12,1116889485.3491857
GWO,F22014,13,3131642034.9884415
GWO,F22014,14,92135771.4337583
GWO,F22014,15,379941047.2554149
GWO,F22014,16,2436454397.5747886
GWO,F22014,17,327796687.943989
GWO,F22014,18,1017000165.2077066
GWO,F22014,19,603011766.354831
GWO,F22014,20,894259495.3481262
GWO,F22014,21,581626970.0994426
GWO,F22014,22,1516610571.829204
GWO,F22014,23,2395116977.9021997
GWO,F22014,24,665257539.7613096
GWO,F22014,25,4994188536.766213
GWO,F22014,26,170772240.30096334
GWO,F22014,27,819094300.0642493
GWO,F22014,28,3290717003.325032
GWO,F22014,29,572664869.5673494
GWO,F22014,30,466302187.66460454
GWO,F22014,31,719180710.2942332
GWO,F22014,32,1745899738.5886424
GWO,F22014,33,1415521384.0604637
GWO,F22014,34,380395834.1761831
GWO,F22014,35,1782938028.63461
GWO,F22014,36,570707024.7566695
GWO,F22014,37,568375319.3836443
GWO,F22014,38,1544010734.2891862
GWO,F22014,39,2218143843.4774585
GWO,F22014,40,489055293.74754846
GWO,F22014,41,13020555.62979555
GWO,F22014,42,342223179.43909264
GWO,F22014,43,2284831762.995776
GWO,F22014,44,551153940.1082474
GWO,F22014,45,369911012.1552275
GWO,F22014,46,106826977.0740607
GWO,F22014,47,546843196.6564404
GWO,F22014,48,5637114923.753701
GWO,F22014,49,580159910.5257068
WOA,F22014,0,681624.6681177093
WOA,F22014,1,796250.7650593298
WOA,F22014,2,517523.26443062164
WOA,F22014,3,1130419.7911529515
WOA,F22014,4,1227334.928520196
WOA,F22014,5,519863.0789306209
WOA,F22014,6,58984033.18351716
WOA,F22014,7,27019490.60057498
WOA,F22014,8,28943043.79535739
WOA,F22014,9,344565.0497637514
WOA,F22014,10,352732.7360082325
WOA,F22014,11,555100.6710728863
WOA,F22014,12,79695598.42897618
WOA,F22014,13,776430.9118585938
WOA,F22014,14,792153.9144084648
WOA,F22014,15,857357.4750631723
WOA,F22014,16,848354.8303954187
WOA,F22014,17,511015.16417647665
WOA,F22014,18,1541862.3354723367
WOA,F22014,19,615054.7386468684
WOA,F22014,20,534760.899576493
WOA,F22014,21,107941164.73553641
WOA,F22014,22,861760.193255201
WOA,F22014,23,501797.52467244153
WOA,F22014,24,1806437.0685393172
WOA,F22014,25,272924.1037527015
WOA,F22014,26,990425.4104037817
WOA,F22014,27,33758591.742243245
WOA,F22014,28,1200610.880742794
WOA,F22014,29,39972128.88437857
WOA,F22014,30,652970.330999009
WOA,F22014,31,2387281.935466214
WOA,F22014,32,595847.3250452933
WOA,F22014,33,703837.137184957
WOA,F22014,34,647767.3836272258
WOA,F22014,35,481477.88609245315
WOA,F22014,36,5255271.532210785
WOA,F22014,37,598166.8785273281
WOA,F22014,38,2936252.281014772
WOA,F22014,39,370441.2997240905
WOA,F22014,40,1726823.9688329797
WOA,F22014,41,287185.84269704757
WOA,F22014,42,660509.8953338224
WOA,F22014,43,4793966.992963969
WOA,F22014,44,894680.331539462
WOA,F22014,45,64820656.84716413
WOA,F22014,46,1776443.696078233
WOA,F22014,47,46406640.16519745
WOA,F22014,48,5974827.400717554
WOA,F22014,49,680618.5687714644
SSA,F22014,0,333515657.02401364
SSA,F22014,1,168846433.0434244
SSA,F22014,2,455959048.96272504
SSA,F22014,3,1372793502.3848755
SSA,F22014,4,415225737.8319352
SSA,F22014,5,642089033.2347307
SSA,F22014,6,191349353.53469858
SSA,F22014,7,545879157.3124195
SSA,F22014,8,176092091.1916198
SSA,F22014,9,842070856.9644543
SSA,F22014,10,819344311.0979137
SSA,F22014,11,295581521.3877204
SSA,F22014,12,1204475639.1116014
SSA,F22014,13,225396818.2529641
SSA,F22014,14,148041713.20540354
SSA,F22014,15,532273956.6054242
SSA,F22014,16,1858178663.211791
SSA,F22014,17,245821721.94514585
SSA,F22014,18,1048916113.9005089
SSA,F22014,19,2243455790.281823
SSA,F22014,20,643703490.8741606
SSA,F22014,21,1555535261.9729671
SSA,F22014,22,999899389.5350612
SSA,F22014,23,883190814.8834219
SSA,F22014,24,441360480.01863754
SSA,F22014,25,1400055548.8668244
